data_adi,data_detay,original_week_period,original_date_text,date
Bayburt,21.98,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Bilecik,45.72,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Bingöl,18.45,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Bitlis,15.1,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Bolu,75.6,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Burdur,93.23,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Bursa,39.14,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Çanakkale,43.76,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Çankırı,26.5,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Çorum,41.31,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Denizli,31.51,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Diyarbakır,18.0,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Düzce,48.78,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Edirne,75.29,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Elazığ,44.22,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Erzincan,34.13,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Erzurum,50.9,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Eskişehir,35.55,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Gaziantep,35.08,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Giresun,217.51,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Gümüşhane,88.21,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Hakkari,3.21,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Hatay,45.5,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Iğdır,10.43,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Isparta,29.53,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
İstanbul,68.23,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
İzmir,42.67,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Kahramanmaraş,35.35,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Karabük,16.83,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Karaman,105.92,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Kars,18.6,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Kastamonu,21.79,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Kayseri,74.08,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Kırıkkale,47.36,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Kırklareli,71.05,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Kırşehir,30.86,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Kilis,48.32,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Kocaeli,92.53,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Konya,101.95,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Kütahya,57.74,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Malatya,44.28,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Manisa,36.74,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Mardin,12.52,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Mersin,87.87,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Muğla,49.66,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Muş,8.51,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Nevşehir,50.83,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Niğde,57.45,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Ordu,228.4,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Osmaniye,134.9,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Rize,200.08,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Sakarya,103.01,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Samsun,202.94,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Siirt,20.54,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Sinop,83.62,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Sivas,38.37,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Şanlıurfa,20.42,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Şırnak,3.91,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Tekirdağ,74.65,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
